Date,Open,High,Low,Close,Volume
10/2/2023,244.81,254.28,242.62,251.6,"123,810,398"
9/29/2023,250,254.77,246.35,250.22,"128,522,703"
9/28/2023,240.02,247.55,238.65,246.38,"117,058,898"
9/27/2023,244.26,245.33,234.58,240.5,"136,597,203"
9/26/2023,242.98,249.55,241.66,244.12,"101,993,602"
9/25/2023,243.38,247.1,238.31,246.99,"104,636,602"
9/22/2023,257.4,257.79,244.48,244.88,"127,524,094"
9/21/2023,257.85,260.86,254.21,255.7,"119,951,508"
9/20/2023,267.04,273.93,262.46,262.59,"122,514,602"
9/19/2023,264.35,267.85,261.2,266.5,"103,704,000"
9/18/2023,271.16,271.44,263.76,265.28,"101,543,297"
9/15/2023,277.55,278.98,271,274.39,"133,692,297"
9/14/2023,271.32,276.71,270.42,276.04,"107,709,797"
9/13/2023,270.07,274.98,268.1,271.3,"111,673,695"
9/12/2023,270.76,278.39,266.6,267.48,"135,999,906"
9/11/2023,264.27,274.85,260.61,273.58,"174,667,906"
9/8/2023,251.22,256.52,246.67,248.5,"118,559,602"
9/7/2023,245.07,252.81,243.27,251.49,"115,312,898"
9/6/2023,255.14,255.39,245.06,251.92,"116,959,797"
9/5/2023,245,258,244.86,256.49,"129,469,602"
9/1/2023,257.26,259.08,242.01,245.01,"132,541,594"
8/31/2023,255.98,261.18,255.05,258.08,"108,861,695"
8/30/2023,254.2,260.51,250.59,256.9,"121,988,398"
8/29/2023,238.58,257.48,237.77,257.18,"134,047,594"
8/28/2023,242.58,244.38,235.35,238.82,"107,673,695"
8/25/2023,231.31,239,230.35,238.59,"106,612,203"
8/24/2023,238.66,238.92,228.18,230.04,"99,777,430"
8/23/2023,229.34,238.98,229.29,236.86,"101,077,602"
8/22/2023,240.25,240.82,229.55,233.19,"130,597,906"
8/21/2023,221.55,232.13,220.58,231.28,"135,702,703"
8/18/2023,214.12,217.58,212.36,215.49,"136,276,609"
8/17/2023,226.06,226.74,218.83,219.22,"120,718,398"
8/16/2023,228.02,233.97,225.38,225.6,"112,484,492"
8/15/2023,238.73,240.5,232.61,232.96,"88,197,602"
8/14/2023,235.7,240.66,233.75,239.76,"98,595,328"
8/11/2023,241.77,243.79,238.02,242.65,"99,038,641"
8/10/2023,245.4,251.8,243,245.34,"109,498,602"
8/9/2023,250.87,251.1,241.9,242.19,"101,596,305"
8/8/2023,247.45,250.92,245.01,249.7,"96,642,180"
8/7/2023,251.45,253.65,242.76,251.45,"111,097,906"
8/4/2023,260.97,264.77,253.11,253.86,"99,539,914"
8/3/2023,252.04,260.49,252,259.32,"97,829,555"
8/2/2023,255.57,259.52,250.49,254.11,"101,752,898"
